time_stamp,humidity,temperature,pressure,pm2.5_alt,pm2.5_atm,sensor_index,latitude,longitude,altitude
2024-03-08T06:00:00Z,68.172,77.606,977.917,14.6,24.2665,2796,30.276873,-97.83731,726
2024-03-08T18:00:00Z,26.572,89.661,980.384,2.0,1.8885,2796,30.276873,-97.83731,726
2024-02-14T06:00:00Z,56.083,54.722,993.492,2.8,4.226,2796,30.276873,-97.83731,726
2024-01-29T06:00:00Z,57.65,49.056,1000.845,2.6,3.8899999999999997,2796,30.276873,-97.83731,726
2024-02-11T18:00:00Z,55.978,63.806,982.694,1.7,2.17,2796,30.276873,-97.83731,726
2024-02-29T06:00:00Z,33.311,56.233,999.163,1.3,1.445,2796,30.276873,-97.83731,726
2024-03-03T06:00:00Z,65.778,70.839,985.995,9.2,15.1075,2796,30.276873,-97.83731,726
2024-03-11T00:00:00Z,34.967,68.217,995.793,3.2,4.776999999999999,2796,30.276873,-97.83731,726
2024-03-07T18:00:00Z,59.65,77.333,978.865,8.4,13.563500000000001,2796,30.276873,-97.83731,726
2024-02-01T12:00:00Z,51.525,67.589,992.235,1.9,2.311,2796,30.276873,-97.83731,726
2024-02-01T06:00:00Z,48.861,60.178,993.054,2.5,3.5385,2796,30.276873,-97.83731,726
2024-03-06T06:00:00Z,46.133,65.561,983.848,2.4,3.2745,2796,30.276873,-97.83731,726
2024-03-06T12:00:00Z,45.578,74.978,985.592,8.1,13.296,2796,30.276873,-97.83731,726
2024-02-13T12:00:00Z,44.389,58.605,995.881,1.9,2.4165,2796,30.276873,-97.83731,726
2024-02-18T12:00:00Z,33.505,52.578,999.34,1.7,2.0645,2796,30.276873,-97.83731,726
2024-02-05T06:00:00Z,50.789,61.311,987.156,0.4,0.0905,2796,30.276873,-97.83731,726
2024-02-05T18:00:00Z,41.528,69.828,991.672,4.2,6.542,2796,30.276873,-97.83731,726
2024-02-05T00:00:00Z,41.522,66.856,983.546,1.5,1.7385,2796,30.276873,-97.83731,726
2024-03-01T18:00:00Z,42.211,74.061,989.987,9.5,15.667,2796,30.276873,-97.83731,726
2024-02-04T06:00:00Z,46.612,59.835,974.802,1.6,1.638,2796,30.276873,-97.83731,726
2024-02-28T00:00:00Z,56.533,81.9,980.16,24.1,36.541,2796,30.276873,-97.83731,726
2024-03-04T12:00:00Z,59.767,79.739,984.795,13.5,22.5445,2796,30.276873,-97.83731,726
2024-03-12T18:00:00Z,46.994,81.728,987.158,4.1,6.285,2796,30.276873,-97.83731,726
2024-02-16T18:00:00Z,41.341,81.7,986.059,0.9,0.6060000000000001,2796,30.276873,-97.83731,726
2024-01-27T06:00:00Z,66.572,59.284,992.711,4.8,7.473000000000001,2796,30.276873,-97.83731,726
2024-02-22T18:00:00Z,19.795,94.528,981.806,2.0,2.1535,2796,30.276873,-97.83731,726
2024-02-03T12:00:00Z,58.911,69.775,978.696,1.6,1.7770000000000001,2796,30.276873,-97.83731,726
