SPECIES,DIAMETER,LONGITUDE,LATITUDE
Oak,23.0,-97.77747900013046,30.19223500013824
Elm,9.0,-97.7766360001592,30.192272999956856
Oak,33.0,-97.77677199957873,30.192311000351268
Crape Myrtle,8.0,-97.77746400014095,30.192330999987607
Oak,25.0,-97.77686700014283,30.192342000114007
Crape Myrtle,9.0,-97.77739500039733,30.19235600034977
Oak,27.0,-97.77720299970237,30.192385000335456
Oak,35.0,-97.77755499992776,30.19242600008677
Cypress,13.0,-97.77709400044176,30.19244900009629
Oak,5.0,-97.7790979996994,30.206650000019923
Oak,5.0,-97.77915699962772,30.206664999664692
Oak,5.0,-97.77932000035308,30.206675000267026
Oak,5.0,-97.77903446158477,30.20667898143153
Oak,5.0,-97.77899080579381,30.206726885160705
Oak,5.0,-97.77935300023545,30.206793000160843
Elm,4.0,-97.77892499995448,30.206842999913466
Oak,5.0,-97.77963400018662,30.20684900038617
Elm,4.0,-97.77884399988496,30.206906999731395
Oak,5.0,-97.7795429998364,30.20699700033042
Texas Mountain Laurel,21.0,-97.77909000000496,30.207001000272438
Elm,4.0,-97.77903200010154,30.207001999912936
Oak,29.0,-97.79726100027544,30.21609900001159
Oak,20.0,-97.7971060000753,30.21622900028984
Oak,16.0,-97.79713900020619,30.216239000136373
Oak,16.0,-97.79737299990506,30.216301000418227
Oak,16.0,-97.79701900027517,30.216314999775186
Oak,17.0,-97.79711399990548,30.216333000376764
Oak,16.0,-97.79705100044704,30.21633400040838
Oak,11.0,-97.79710999951689,30.21634899972671
Oak,15.0,-97.79711600006375,30.216362000190344
Oak,21.0,-97.79707799991318,30.2163719997598
Oak,19.0,-97.797015999528,30.216378000408938
Oak,13.0,-97.79705399982574,30.21638599958813
Oak,23.0,-97.79707699968657,30.216403999946102
Oak,19.0,-97.79699100049864,30.216412000383347
Oak,17.0,-97.79773200002793,30.21641500039383
Oak,13.0,-97.7974960001649,30.216418999811932
Oak,19.0,-97.7975109996811,30.216426999988293
Oak,11.0,-97.7973979995665,30.216453999635
Oak,11.0,-97.79743399973064,30.21645500034432
Oak,14.0,-97.79744400006832,30.216458000093667
Oak,14.0,-97.79741100048076,30.21646800042719
Oak,15.0,-97.79759100039605,30.2165029999073
Oak,15.0,-97.79760699977817,30.216535999903066
Oak,11.0,-97.79808899986594,30.216575000100654
Oak,15.0,-97.79807300041593,30.216575999862425
Oak,8.0,-97.79810200036475,30.216591000369743
Elm,12.0,-97.79815300037852,30.216607000339707
Elm,13.0,-97.7981189996264,30.21660800017194
Oak,34.0,-97.79682899960258,30.216644999547377
Oak,15.0,-97.79785300036238,30.216705000289586
Oak,15.0,-97.79797600010563,30.21671099960981
Oak,12.0,-97.79791400029593,30.216721999602246
Oak,15.0,-97.79778200012389,30.216801999709414
Oak,14.0,-97.79787800010752,30.216803999617444
Oak,18.0,-97.79797600028476,30.21683199991388
Oak,24.0,-97.79798300004768,30.21685800009609
Oak,19.0,-97.79800500005446,30.216885999931623
Oak,19.0,-97.79774699970734,30.216939000102247
Elm,12.0,-97.85480899981745,30.217451999582106
Huisache,28.0,-97.85480899981745,30.217451999582106
