,sensor_index,canopy_coverage_area,buffer_area,canopy_coverage_percentage
81,30107,3239644.261227831,18278061.560486313,17.724222289694683
82,30109,2654782.3322789157,18278061.560486313,14.524419471362593
83,30689,4434165.111981517,18278061.560486313,24.25949325812173
84,34435,4879158.750049389,18278061.560486313,26.694071107612423
85,39123,0.0,18278061.560486313,0.0
86,39167,9505989.37286295,18278061.560486313,52.00764501971635
87,43425,6832398.269659419,18278061.560486313,37.38032201636612
88,43597,6287342.429211131,18278061.560486313,34.39829988757215
89,43601,8543906.31811574,18278061.560486313,46.74405045547082
90,43613,6694405.157020975,18278061.560486313,36.625356222089785
91,49065,6180725.324970768,18278061.560486313,33.81499348012001
92,49081,2752467.8946671453,18278061.560486313,15.058861058972777
93,49083,2827558.3586376887,18278061.560486313,15.469683966653944
94,49085,2755154.838830677,18278061.560486313,15.073561437098979
95,52617,8580441.411029285,18278061.560486313,46.943935398371586
96,65197,9376591.074980108,18278061.560486313,51.29970179797682
97,76047,5701076.8113829065,18278061.560486313,31.190817431688426
98,78031,4365892.194314802,18278061.560486313,23.885969416762602
99,85861,12291104.82339015,18278061.560486313,67.24512215212786
100,87765,9596348.486162702,18278061.560486313,52.5020033136784
101,91067,14945003.681354288,18278061.560486313,81.76470810046148
102,91101,8125731.120094452,18278061.560486313,44.45619735552667
103,96149,6865577.256965731,18278061.560486313,37.56184557233247
104,96355,10006819.171457222,18278061.560486313,54.74770471880923
105,96937,4902139.725799734,18278061.560486313,26.81980093773853
106,102148,8802126.344535697,18278061.560486313,48.15678246518338
107,102426,4286070.580628237,18278061.560486313,23.449262201271413
108,102762,9071464.618578922,18278061.560486313,49.63034284877178
109,105154,6061079.322927865,18278061.560486313,33.16040545585405
110,110162,8454634.39557666,18278061.560486313,46.25564022529593
111,110626,12212094.326743357,18278061.560486313,66.81285259014325
112,113468,8384558.378550892,18278061.560486313,45.87225155580343
113,113929,6581725.890329272,18278061.560486313,36.008883483343276
114,113933,3462555.1689472427,18278061.560486313,18.9437767100677
115,114061,3429403.951169359,18278061.560486313,18.762405082293174
116,114395,6090297.006215766,18278061.560486313,33.32025656036649
117,119083,9172437.063886879,18278061.560486313,50.18276710324655
118,121049,4770572.620707022,18278061.560486313,26.099992085703942
119,121359,4826853.071639247,18278061.560486313,26.40790466574412
120,121375,5974842.290058078,18278061.560486313,32.68859922747251
121,121379,7518579.937368153,18278061.560486313,41.13444914542738
122,121381,5919133.613151267,18278061.560486313,32.38381484581115
123,121415,6538700.710278897,18278061.560486313,35.773491016215424
124,121417,9285727.05433318,18278061.560486313,50.80258113588562
125,121827,6017556.24339921,18278061.560486313,32.92228896092582
126,122085,13185182.24252762,18278061.560486313,72.1366551857527
127,122873,8358325.444797921,18278061.560486313,45.728730134419884
128,122923,6339823.816865634,18278061.560486313,34.68542764168781
129,122939,9187124.7343064,18278061.560486313,50.26312393086154
130,123159,9180282.460598798,18278061.560486313,50.22568957993238
131,124599,5508782.557122128,18278061.560486313,30.13876793713764
132,130825,8121609.043028256,18278061.560486313,44.433645308349476
133,131835,2030863.6487964336,18278061.560486313,11.110935599356848
134,133822,5551686.049220239,18278061.560486313,30.37349464465054
135,134442,5535604.889032699,18278061.560486313,30.28551397922645
136,135084,4960567.750640551,18278061.560486313,27.13946297984001
137,135100,7753706.274590331,18278061.560486313,42.42083466527089
138,137762,7857977.268219782,18278061.560486313,42.991305408486156
139,138056,8318288.637415858,18278061.560486313,45.5096871727274
140,144890,5629498.839119187,18278061.560486313,30.799211505497336
141,144888,4892525.405721743,18278061.560486313,26.767200611132914
142,144892,6154306.485189301,18278061.560486313,33.67045495947852
143,148203,8669621.393447133,18278061.560486313,47.431842620495395
144,149298,9979373.55588046,18278061.560486313,54.59754866705322
145,151672,5161427.490831373,18278061.560486313,28.23837458775933
146,151690,7315794.846281976,18278061.560486313,40.02500386636913
147,152286,8208617.456090275,18278061.560486313,44.909671788368094
148,152538,2145799.2330383705,18278061.560486313,11.739752740942615
149,152572,1501336.451869651,18278061.560486313,8.213871295385362
150,152836,6561793.431451847,18278061.560486313,35.899832209982236
151,152976,7000853.490478232,18278061.560486313,38.301947213115554
152,153648,3529444.971500038,18278061.560486313,19.309733473761934
153,153658,2054736.8309989744,18278061.560486313,11.24154672638221
